Temperature_Internal,Humidity_Internal,Temperature_External,Moisture_A,Moisture_B,Moisture_C,Time
1,1,68,14,0,10,2014-01-22 04:30:12
1,1,68,284,369,281,2014-01-22 04:30:27
1,1,68,12,0,13,2014-01-22 04:30:42
1,1,67.8866,549,616,422,2014-01-22 04:30:57
1,1,67.8866,5,538,397,2014-01-22 04:31:14
1,1,67.6616,54,76,92,2014-01-22 04:33:42
1,1,67.6616,58,43,10,2014-01-22 04:36:28
1,1,24.575,443,102,444,2014-01-30 20:04:26
1,1,24.575,411,539,414,2014-01-30 20:15:18
1,1,24.35,402,345,405,2014-01-30 20:15:57
1,1,24.35,405,341,441,2014-01-30 20:16:21
1,1,24.35,397,271,410,2014-01-30 20:16:48
1,1,24.35,400,205,390,2014-01-30 20:17:19
1,1,24.35,406,253,387,2014-01-30 20:17:48
1,1,24.35,410,752,421,2014-01-30 20:18:18
1,1,24.4634,385,203,396,2014-01-30 20:18:47
1,1,24.4634,379,235,415,2014-01-30 20:19:18
1,1,24.575,412,448,359,2014-01-30 20:19:49
1,1,16.25,546,10,451,2014-02-07 19:45:46
1,1,17.2634,544,17,503,2014-02-07 20:03:24
1,1,17.375,623,32,536,2014-02-07 20:20:57
1,1,15.6884,487,22,478,2014-02-07 20:38:34
1,1,16.1384,516,36,486,2014-02-07 20:56:14
1,1,15.2384,464,17,434,2014-02-07 21:13:47
1,1,15.35,618,32,567,2014-02-07 21:31:27
1,1,0,0,0,0,2014-03-26 13:59:11
1,1,0,0,0,0,2014-03-26 13:59:25
1,1,0,0,0,0,2014-03-26 14:03:26
1,1,0,0,0,0,2014-03-26 14:03:40
1,1,0,0,1023,1023,2014-03-26 14:03:55
1,1,0,0,0,0,2014-04-04 14:40:59
1,1,0,0,0,0,2014-04-04 14:41:14
1,1,0,0,0,0,2014-04-04 14:41:29
1,1,0,0,0,0,2014-04-04 14:41:44
1,1,0,0,0,0,2014-04-04 14:41:59
1,1,0,0,0,0,2014-04-04 14:42:14
1,1,0,0,0,0,2014-04-04 14:42:29
1,1,0,0,0,0,2014-04-04 14:42:44
1,1,0,0,0,0,2014-04-04 14:42:59
1,1,0,0,0,0,2014-04-04 14:43:13
1,1,0,0,0,0,2014-04-04 14:43:29
1,1,0,0,0,0,2014-04-04 14:43:44
1,1,0,0,0,0,2014-04-09 16:41:22
1,1,0,0,0,0,2014-04-09 16:41:34
1,1,0,0,0,0,2014-04-09 16:41:49
1,1,0,0,0,0,2014-04-09 16:42:04
1,1,0,197,43,47,2014-04-14 19:39:50
1,1,0,0,2,12,2014-04-14 19:40:03
1,1,0,88,53,41,2014-04-14 19:40:17
1,1,0,145,90,66,2014-04-14 19:40:30
1,1,0,105,140,148,2014-04-14 19:40:43
1,1,0,235,202,172,2014-04-14 19:40:57
1,1,0,292,267,228,2014-04-14 19:41:10
1,1,0,47,64,74,2014-04-14 19:41:23
1,1,0,207,163,125,2014-04-14 19:41:36
1,1,0,279,241,210,2014-04-14 19:41:50
1,1,0,252,256,244,2014-04-14 19:42:03
1,1,0,288,251,217,2014-04-14 19:42:16
1,1,0,106,135,148,2014-04-14 19:42:30
1,1,0,52,32,21,2014-04-14 19:42:44
1,1,0,91,116,129,2014-04-14 19:42:57
1,1,0,42,55,56,2014-04-14 19:43:10
1,1,0,39,21,8,2014-04-14 19:43:24
1,1,0,205,208,194,2014-04-14 19:43:37
1,1,0,74,97,107,2014-04-14 19:43:51
1,1,0,25,3,0,2014-04-14 19:44:04
1,1,0,0,0,0,2014-04-14 19:44:17
1,1,0,44,57,64,2014-04-14 19:44:31
1,1,0,0,1,11,2014-04-14 19:44:44
1,1,0,35,15,0,2014-04-14 19:44:58
1,1,0,73,50,39,2014-04-14 19:45:11
1,1,0,62,86,96,2014-04-14 19:45:24
1,1,0,194,208,189,2014-04-14 19:45:38
1,1,0,0,0,0,2014-04-16 16:34:53
1,1,0,0,0,0,2014-04-16 16:35:07
1,1,0,0,0,0,2014-04-16 16:35:23
1,1,0,0,0,0,2014-04-16 16:35:38
1,1,0,0,0,0,2014-04-16 16:35:53
1,1,0,0,0,0,2014-04-16 16:36:07
1,1,0,0,0,0,2014-04-16 16:36:23
1,1,0,0,0,0,2014-04-16 16:36:37
1,1,0,0,0,0,2014-04-16 16:36:52
1,1,0,0,0,0,2014-04-16 16:37:07
1,1,0,0,0,0,2014-04-16 16:37:22
1,1,0,0,0,0,2014-04-18 15:06:32
1,1,0,0,0,0,2014-04-18 15:06:47
1,1,0,0,0,0,2014-04-18 15:07:02
1,1,0,47,503,276,2014-04-22 18:58:09
1,1,0,52,519,323,2014-04-22 19:48:47
1,1,0,40,488,269,2014-04-22 20:39:23
1,1,0,73,545,355,2014-04-22 21:30:00
1,1,0,41,491,282,2014-04-22 22:20:37
1,1,0,39,483,292,2014-04-22 23:11:13
1,1,0,44,488,272,2014-04-23 00:01:48
1,1,0,46,477,286,2014-04-23 00:52:24
1,1,0,40,482,273,2014-04-23 01:43:01
1,1,0,46,477,275,2014-04-23 02:33:40
1,1,0,57,526,332,2014-04-23 03:24:17
1,1,0,61,541,340,2014-04-23 04:14:54
1,1,0,39,495,304,2014-04-23 05:05:31
1,1,0,48,491,291,2014-04-23 05:56:07
1,1,0,61,559,355,2014-04-23 06:46:44
1,1,0,50,502,295,2014-04-23 07:37:19
1,1,0,52,486,296,2014-04-23 08:27:56
1,1,0,41,490,277,2014-04-23 09:18:34
1,1,0,57,504,296,2014-04-23 10:09:10
1,1,0,51,506,300,2014-04-23 10:59:46
1,1,0,69,591,391,2014-04-23 11:50:25
1,1,0,54,509,306,2014-04-23 12:41:01
1,1,0,61,529,324,2014-04-23 13:31:39
1,1,0,62,597,417,2014-04-23 14:22:15
1,1,0,66,521,318,2014-04-23 15:12:51
1,1,0,56,519,312,2014-04-23 16:03:27
1,1,0,62,531,321,2014-04-23 16:54:04
1,1,0,49,452,245,2014-04-23 17:44:42
1,1,0,59,510,305,2014-04-23 18:35:18
1,1,0,49,446,256,2014-04-23 19:25:54
1,1,0,64,533,350,2014-04-23 20:16:32
1,1,0,54,529,328,2014-04-23 21:07:09
1,1,0,65,581,365,2014-04-23 21:57:45
1,1,0,50,481,266,2014-04-23 22:48:21
1,1,0,69,536,331,2014-04-23 23:38:57
1,1,0,59,538,333,2014-04-24 00:29:33
1,1,0,61,532,337,2014-04-24 01:20:10
1,1,0,71,521,259,2014-04-24 02:10:46
1,1,0,61,531,321,2014-04-24 03:01:22
1,1,0,65,533,322,2014-04-24 03:51:59
1,1,0,67,615,428,2014-04-24 04:42:37
1,1,0,69,561,344,2014-04-24 05:33:16
1,1,0,65,571,345,2014-04-24 06:23:55
1,1,0,49,463,259,2014-04-24 07:14:30
1,1,0,69,555,340,2014-04-24 08:05:06
1,1,0,93,641,431,2014-04-24 08:55:44
1,1,0,65,546,334,2014-04-24 09:46:20
1,1,0,66,519,324,2014-04-24 10:36:55
1,1,0,67,624,431,2014-04-24 11:27:32
1,1,0,74,544,334,2014-04-24 12:18:09
1,1,0,62,501,321,2014-04-24 13:08:45
1,1,0,56,508,377,2014-04-24 13:59:26
1,1,0,67,531,337,2014-04-24 14:50:03
1,1,0,70,540,360,2014-04-24 15:40:41
1,1,0,75,553,347,2014-04-24 16:31:16
1,1,0,68,552,359,2014-04-24 17:21:52
1,1,0,71,544,361,2014-04-24 18:12:30
1,1,0,96,648,453,2014-04-24 19:03:07
1,1,0,88,631,377,2014-04-24 19:53:45
1,1,0,75,651,450,2014-04-24 20:44:23
1,1,0,64,441,240,2014-04-24 21:35:00
1,1,0,43,405,188,2014-04-24 22:25:37
1,1,0,74,560,350,2014-04-24 23:16:13
1,1,0,46,472,320,2014-04-25 00:06:52
1,1,0,71,533,331,2014-04-25 00:57:29
1,1,0,65,529,331,2014-04-25 01:48:05
1,1,0,25,396,44,2014-04-25 02:38:41
1,1,0,20,370,38,2014-04-25 03:29:19
1,1,0,17,358,5,2014-04-25 04:19:54
1,1,0,23,392,36,2014-04-25 05:10:31
1,1,0,22,397,41,2014-04-25 06:01:07
1,1,0,20,386,30,2014-04-25 06:51:43
1,1,0,18,395,37,2014-04-25 07:42:19
1,1,0,19,389,32,2014-04-25 08:32:54
1,1,0,22,441,85,2014-04-25 09:23:34
1,1,0,21,386,35,2014-04-25 10:14:10
1,1,0,18,403,37,2014-04-25 11:04:46
1,1,0,24,346,13,2014-04-25 11:55:24
1,1,0,20,389,32,2014-04-25 12:46:00
1,1,0,17,352,0,2014-04-25 13:36:36
1,1,0,17,385,22,2014-04-25 14:27:12
1,1,0,18,357,11,2014-04-25 15:17:51
1,1,0,19,388,24,2014-04-25 16:08:30
1,1,0,28,391,26,2014-04-25 16:59:07
1,1,0,14,379,11,2014-04-25 17:49:44
1,1,0,14,358,10,2014-04-25 18:40:21
1,1,0,18,379,28,2014-04-25 19:30:57
1,1,0,13,368,11,2014-04-25 20:21:35
1,1,0,9,337,0,2014-04-25 21:12:13
1,1,0,17,393,40,2014-04-25 22:02:49
1,1,0,20,403,30,2014-04-25 22:53:27
1,1,0,21,396,35,2014-04-25 23:44:03
1,1,0,18,403,32,2014-04-26 00:34:41
1,1,0,23,446,39,2014-04-26 01:25:18
1,1,0,18,412,33,2014-04-26 02:15:55
1,1,0,22,413,13,2014-04-26 03:06:32
1,1,0,20,405,29,2014-04-26 03:57:09
1,1,0,21,407,35,2014-04-26 04:47:46
1,1,0,20,416,42,2014-04-26 05:38:23
1,1,0,16,353,0,2014-04-26 06:28:59
1,1,0,23,414,30,2014-04-26 07:19:37
